カンマ(,)は消さずにお願いします。★は消しても大丈夫です,,,,,,
左から「曲番号」「ファイル名」「曲名」「作曲者」「演出総数(2以上の場合のみ記入)」「補足(ファイル消失等)」,,,,,,,
編集したら「RIGHT:最終更新」の部分を書き換える事！しなくても良いけど、してくれると嬉しいです,,,,,,,
ちなみにエクセルで見るとコンマが表の区切りとして認識されます。なのでエクセル推奨。でも保存は「csv形式」でお願いね,,,,,,,
,,,,,,,
,>,>,>,>,>,RIGHT:最終更新：2013/02/11,★
,146,2_47.wav,,かめりあ,,,★
,147,2kki bgm 02.wav,,,,,★
,148,2kki bgm 06.wav,,,,,★
,149,2kki,,,,,★
,150,6_3.wav,,かめりあ,,,★
,151,0109BGM3.wav,,,,,★
,152,bgm080.wav,,,,,★
,153,bgm-j.wav,,,,,★
,154,bin10011216461000101.wav,,,,,★
,155,camellia_hysar2.wav,hysar2,かめりあ,,,★
,156,camellia_japanish.wav,japanish,かめりあ,,,★
,157,Cave_2.wav,,,,,★
,158,dedp_no name5.wav,,,,,★
,159,dedp_no name7.wav,,,,,★
,160,152-woo.wav,woo,152,,,★
,161,dedp_x_r036_4_120.wav,,,,,★
,162,enter_2.wav,,,2,,★
,163,for.wav,,,,,★
,164,yukihi1.mp3,,,,,★
,165,n3-AoF.wav,,n3,,,★
,166,n3-BoM.wav,,n3,,,★
,167,n3-CaSP.wav,,n3,2,,★
,168,n3-ELP.wav,,n3,,,★
,169,n3-FiT.wav,,n3,,てるてるぼうず取得で演出追加,★
,170,n3-iFF.wav,,n3,,,★
,171,n3-KtO.wav,,n3,,,★
,172,n3-LaW.wav,,n3,,,★
,173,n3-LI.wav,,n3,,,★
,174,n3-NiT.wav,,n3,,,★
,175,n3-RtH.wav,,n3,,,★
,176,n3-Tcs.wav,,n3,,,★
,177,n3-tSP.wav,,n3,,,★
,178,n3-WeR.wav,,n3,,,★
,179,nami.wav,,,,,★
,180,oudn-05.wav,,,,,★
,181,RIMA-bgm-Chip003.wav,,RIMA,,,★
,182,short_bgm2.wav,,,,,★
,183,sound2a_.wav,,,,,★
,184,sound3d.wav,,,,,★
,185,sound3e.wav,,,,,★
,186,sound3f.wav,,,,,★
,187,sound4d.wav,,,2,,★
,188,twen20ty-7.mid,,,,,★
